algoritmo,n,tipo,dominio,muestra,tiempo_segundos,memoria_peak_kb
std_sort,1000,descendente,D1,b,1.1672e-05,4540
mergesort,1000,descendente,D1,b,2.663e-05,4540
quicksort,1000,descendente,D1,b,1.559e-05,4540
patiencesort,1000,descendente,D1,b,9.127e-06,4540
std_sort,1000,descendente,D1,c,7.234e-06,4540
mergesort,1000,descendente,D1,c,1.4106e-05,4540
quicksort,1000,descendente,D1,c,1.3425e-05,4540
patiencesort,1000,descendente,D1,c,7.464e-06,4540
std_sort,1000,descendente,D7,a,3.526e-06,4540
mergesort,1000,descendente,D7,a,0.000131386,4540
quicksort,1000,descendente,D7,a,6.181e-06,4540
patiencesort,1000,descendente,D7,a,7.775e-06,4540
std_sort,1000,descendente,D7,b,4.348e-06,4540
mergesort,1000,descendente,D7,b,1.3085e-05,4540
quicksort,1000,descendente,D7,b,9.508e-06,4540
patiencesort,1000,descendente,D7,b,5.741e-06,4540
std_sort,1000,descendente,D7,c,5.71e-06,4540
mergesort,1000,descendente,D7,c,1.8906e-05,4540
quicksort,1000,descendente,D7,c,8.456e-06,4540
patiencesort,1000,descendente,D7,c,9.808e-06,4540
std_sort,1000,aleatorio,D1,a,2.0398e-05,4540
mergesort,1000,aleatorio,D1,a,5.2508e-05,4540
quicksort,1000,aleatorio,D1,a,3.4795e-05,4540
patiencesort,1000,aleatorio,D1,a,6.9821e-05,4540
std_sort,1000,aleatorio,D1,b,2.8012e-05,4540
mergesort,1000,aleatorio,D1,b,7.1955e-05,4540
quicksort,1000,aleatorio,D1,b,4.8891e-05,4540
patiencesort,1000,aleatorio,D1,b,6.414e-05,4540
std_sort,1000,aleatorio,D1,c,1.9066e-05,4540
mergesort,1000,aleatorio,D1,c,4.273e-05,4540
quicksort,1000,aleatorio,D1,c,2.6429e-05,4540
patiencesort,1000,aleatorio,D1,c,3.8051e-05,4540
std_sort,1000,aleatorio,D7,a,4.0676e-05,4540
mergesort,1000,aleatorio,D7,a,8.3326e-05,4540
quicksort,1000,aleatorio,D7,a,5.9011e-05,4540
patiencesort,1000,aleatorio,D7,a,9.5949e-05,4540
std_sort,1000,aleatorio,D7,b,3.1249e-05,4540
mergesort,1000,aleatorio,D7,b,5.2348e-05,4540
quicksort,1000,aleatorio,D7,b,4.7609e-05,4540
patiencesort,1000,aleatorio,D7,b,7.4409e-05,4540
std_sort,1000,aleatorio,D7,c,3.6097e-05,4540
mergesort,1000,aleatorio,D7,c,6.451e-05,4540
quicksort,1000,aleatorio,D7,c,6.0292e-05,4540
patiencesort,1000,aleatorio,D7,c,9.4677e-05,4540
std_sort,100000,ascendente,D1,a,0.00149163,5308
mergesort,100000,ascendente,D1,a,0.00187629,5572
quicksort,100000,ascendente,D1,a,0.000927704,5572
patiencesort,100000,ascendente,D1,a,0.00287896,5636
std_sort,100000,ascendente,D1,b,0.000710609,5636
mergesort,100000,ascendente,D1,b,0.00140302,5636
quicksort,100000,ascendente,D1,b,0.00103425,5636
patiencesort,100000,ascendente,D1,b,0.00205019,5636
std_sort,100000,ascendente,D1,c,0.000996903,5636
mergesort,100000,ascendente,D1,c,0.00153048,5636
quicksort,100000,ascendente,D1,c,0.00132344,5636
patiencesort,100000,ascendente,D1,c,0.00214233,5636
std_sort,100000,ascendente,D7,a,0.00066875,5636
mergesort,100000,ascendente,D7,a,0.00132406,5636
quicksort,100000,ascendente,D7,a,0.000635197,5636
patiencesort,100000,ascendente,D7,a,0.0182775,14568
std_sort,100000,ascendente,D7,b,0.00068474,14568
mergesort,100000,ascendente,D7,b,0.00109724,14568
quicksort,100000,ascendente,D7,b,0.000635077,14568
patiencesort,100000,ascendente,D7,b,0.0113015,14860
std_sort,100000,ascendente,D7,c,0.000734463,14860
mergesort,100000,ascendente,D7,c,0.00111794,14860
quicksort,100000,ascendente,D7,c,0.000616072,14860
patiencesort,100000,ascendente,D7,c,0.0128958,14860
std_sort,100000,descendente,D1,a,0.00085047,14860
mergesort,100000,descendente,D1,a,0.00233405,14860
quicksort,100000,descendente,D1,a,0.00103002,14860
patiencesort,100000,descendente,D1,a,0.000402914,14860
std_sort,100000,descendente,D1,b,0.000797161,14860
mergesort,100000,descendente,D1,b,0.00165881,14860
quicksort,100000,descendente,D1,b,0.00101541,14860
patiencesort,100000,descendente,D1,b,0.000391432,14860
std_sort,100000,descendente,D1,c,0.000961307,14860
mergesort,100000,descendente,D1,c,0.0016273,14860
quicksort,100000,descendente,D1,c,0.000958192,14860
patiencesort,100000,descendente,D1,c,0.000416258,14860
std_sort,100000,descendente,D7,a,0.000489976,14860
mergesort,100000,descendente,D7,a,0.00265588,14860
quicksort,100000,descendente,D7,a,0.000639916,14860
patiencesort,100000,descendente,D7,a,0.000408774,14860
std_sort,100000,descendente,D7,b,0.000475048,14860
mergesort,100000,descendente,D7,b,0.00196146,14860
quicksort,100000,descendente,D7,b,0.000686955,14860
patiencesort,100000,descendente,D7,b,0.000427349,14860
